STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	CPOPARST	CPOPCRIM	AG_ARRST	AG_OFF	COVIND	VIOL	PROPERTY	MURDER	RAPE	ROBBERY	AGASSLT	BURGLRY	LARCENY	MVTHEFT	ARSON
9999	1	4	56	1	111	22604	22604	6	4	92.5478	71	423	0	7	12	51	119	271	34	0
9999	1	4	57	1	113	65910	60275	3	2	100	351	1952	9	57	73	212	519	1193	240	10
9999	1	4	58	1	115	85055	87533	11	13	98.9544	395	1649	1	34	20	340	408	1145	96	1
9999	1	4	59	1	117	186600	210839	9	13	99.4692	649	3087	7	60	43	539	666	2195	226	7
9999	1	4	60	1	119	12948	12948	5	5	79.6075	43	130	1	4	7	32	35	87	7	2
9999	1	4	61	1	121	76263	80431	6	7	98.8316	429	2983	5	26	54	344	707	2093	183	2
9999	1	4	62	1	123	38953	39819	6	6	99.2131	353	1035	4	14	28	307	236	725	74	2
9999	1	4	63	1	125	204519	205334	8	10	99.9129	812	6427	17	86	223	485	1432	4596	398	26
9999	1	4	64	1	127	64818	64802	9	8	99.0993	320	2119	2	24	33	260	443	1451	224	19
9999	1	4	65	1	129	16608	16608	4	4	98.6954	49	200	2	4	2	41	55	112	33	3
9999	1	4	66	1	131	10936	10936	3	3	94.16	73	194	2	4	4	63	78	91	25	4
9999	1	4	67	1	133	23764	23717	6	6	84.6956	29	296	0	4	1	24	68	212	17	4
9999	1	4	68	1	777	0	0	1	1	100	13	365	0	0	4	9	5	347	13	0
9999	1	4	69	2	13	1080	0	1	0	0	0	0	0	0	0	0	0	0	0	0
9999	1	4	70	2	16	5029	4517	2	1	100	16	29	0	1	0	15	5	15	9	0
9999	1	4	71	2	20	299097	299097	3	3	100	3435	14971	28	542	696	2169	2020	10864	2087	70
9999	1	4	72	2	50	6522	6522	1	1	100	141	217	0	37	13	91	49	116	52	3
9999	1	4	73	2	60	870	870	1	1	100	0	21	0	0	0	0	4	11	6	0
9999	1	4	74	2	70	2419	2419	1	1	100	51	61	0	14	1	36	13	42	6	1
9999	1	4	75	2	90	34657	34657	4	4	100	232	1517	7	35	32	158	173	1207	137	6
9999	1	4	76	2	100	2535	2535	1	1	100	4	24	0	0	0	4	7	17	0	0
9999	1	4	77	2	105	757	0	1	0	0	0	0	0	0	0	0	0	0	0	0
